Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	TPA_HF.pEF_U10.1	TPA_HF.pEF_U10.2	TPA_HF.pEF_U11.1	TPA_HF.pEF_U11.2	TPA_HF.pEF_U16.1	TPA_HF.pEF_U16.2	TPA_HF.pEF_U2.1	TPA_HF.pEF_U2.2	TPA_HF.pEF_U24.1	TPA_HF.pEF_U24.2	TPA_HF.pEF_U4.1	TPA_HF.pEF_U4.2	TPA_HF.pEF_U5.1	TPA_HF.pEF_U5.2	TPA_HF.pEF_U8.1	TPA_HF.pEF_U8.2	TPA_HF.pEF_U9.1	TPA_HF.pEF_U9.2	TPA_HF.rEF_U30.1	TPA_HF.rEF_U30.2	TPA_HF.rEF_U34.1	TPA_HF.rEF_U34.2	TPA_HF.rEF_U37.1	TPA_HF.rEF_U37.2	TPA_HF.rEF_U39.1	TPA_HF.rEF_U39.2	TPA_HF.rEF_U42.1	TPA_HF.rEF_U42.2	TPA_HF.rEF_U46.1	TPA_HF.rEF_U46.2	TPA_HF.rEF_U48.1	TPA_HF.rEF_U48.2	TPA_HF.rEF_U53.1	TPA_HF.rEF_U53.2	TPA_Ctrl_U57.1	TPA_Ctrl_U57.2	TPA_Ctrl_U59.1	TPA_Ctrl_U59.2	TPA_Ctrl_U60.1	TPA_Ctrl_U60.2	TPA_Ctrl_U62.1	TPA_Ctrl_U62.2	TPA_Ctrl_U64.1	TPA_Ctrl_U64.2	TPA_Ctrl_U65.1	TPA_Ctrl_U65.2	TPA_Ctrl_U66.1	TPA_Ctrl_U66.2	TPA_Ctrl_U67.1	TPA_Ctrl_U67.2	TPA_Ctrl_U68.1	TPA_Ctrl_U68.2	TPA_Ctrl_U71.1	TPA_Ctrl_U71.2
"Q8NFJ5;A0A3B3ITN8;F5GWG3"	"Q8NFJ5;A0A3B3ITN8"	"3;2;1"	"3;2;1"	"3;2;1"	Retinoic acid-induced protein 3	GPRC5A	0	0	1.607114252	1.650788328	0	0	2.311111844	2.43893444	1.213745234	1.179646761	0	0	0	0	3.221144057	3.355177932	0	0	1.383072802	1.562390867	2.241465098	2.518597391	2.669078145	2.78092513	2.0662007	1.26414577	1.518133203	0	1.106022913	0	1.545775665	1.068853804	1.434695807	1.572369239	1.203141219	1.517364585	0	0	8.73652678	3.611038473	0	0	0	0	2.691800043	3.313054994	0	0	0	0	0	0	0	0
"A0A6Q8PGE6;A0A6Q8PG52;A0A6Q8PH84;P51149;C9J592;C9IZZ0;C9J8S3;C9J4V0;C9J4S4"	"A0A6Q8PGE6;A0A6Q8PG52;A0A6Q8PH84;P51149;C9J592;C9IZZ0;C9J8S3"	"6;6;6;6;4;4;3;2;1"	"6;6;6;6;4;4;3;2;1"	"6;6;6;6;4;4;3;2;1"	Ras-related protein Rab-7a	RAB7A	1.105943823	1.228294543	8.286315671	7.28185246	0	0	0	0	0.810286517	0	0	0	0.91660945	0	1.784827599	1.640621955	0	0	0	1.031174	0	0	0.496786326	0.73312428	0.648489747	0.561424534	3.267841097	3.59554	1.60594346	1.515199486	1.937164324	0.669476904	3.204859094	4.9746815	1.021103297	1.624775856	0	0	11.61133184	2.960417296	3.083759683	2.535519179	0	0	0	1.197691765	0.78281569	0	5.279827886	1.629108007	3.186634656	3.737127051	3.171427258	4.038322393
Q16706	Q16706	4	4	4	Alpha-mannosidase 2	MAN2A1	0	0.162245819	0.123774959	0	0	0	0.162123894	0	0.187711046	0.18616085	0	0.084521858	0	0	0.154830218	0.271263264	0	0	0.340390567	0.290015187	0.194722364	0.30110035	0.366216709	0.409127283	0.372701501	0.236652083	0	0.195157598	0.157187093	0	0.164499573	0.231048799	0	0.139580235	0	0	0.075882031	0	0.600054133	0.224662486	0	0	0	0	0.134597876	0.161761805	0	0	0.360887498	0	0.105312918	0	0	0
P08311	P08311	10	10	10	Cathepsin G	CTSG	1.236044488	2.110783482	148.1229458	124.2489285	0	0.815950464	0	0	0	0	0	0	0	0.500818033	3.323603042	1.251999221	0	0	29.07060974	23.33863967	0.541238255	0.900664521	0.993336173	2.200156622	0	0	30.26868027	29.92205174	70.4570166	70.11772978	0	0	26.48272007	29.25246088	0	0.626066414	0	28.81744166	28.91158783	23.36837891	7.160966493	5.592659858	4.02901531	3.394634923	15.55834049	19.25217821	12.21669728	16.78653673	83.19628327	27.18724293	10.81711379	8.624370615	41.36787108	39.8989858
P13284	P13284	6	6	6	Gamma-interferon-inducible lysosomal thiol reductase	IFI30	18.28133013	22.98611504	14.15187872	14.26130489	5.840768947	0	0	0	6.906780897	1.779879242	0	0	10.70335135	0	0	0	0	0	25.36649357	0	24.68823752	27.30937799	19.65771059	20.83613095	21.03261863	13.79892818	14.3428222	17.65234902	0	0	11.43085451	10.94823496	14.20436149	0	9.720366368	19.45478199	3.128464745	14.03376024	81.24033005	31.94183361	0	8.507936953	0	0	11.68119645	13.86476816	12.27699364	10.85793511	0	3.463787494	6.563853603	5.61294631	9.950618596	8.4239034
"A0A024RA52;P25787;A0A7I2V2H3;H3BT36;A0A7I2YQP7;C9JCK5"	"A0A024RA52;P25787;A0A7I2V2H3;H3BT36;A0A7I2YQP7;C9JCK5"	"4;4;3;2;2;2"	"4;4;3;2;2;2"	"4;4;3;2;2;2"	"Proteasome subunit alpha type;Proteasome subunit alpha type-2"	PSMA2	0.430339012	0.811361198	1.233615065	1.237072554	0	0	0	0	0.774590609	0	0	0.373184187	0	0	1.238502492	0.647906837	0	0	0.609568869	0.529904234	0.557950224	1.402794806	2.633570192	1.159279701	0	0	0	0.702373943	0	0.907699615	1.157464903	1.180834866	0.534255183	0.948862436	0.288541241	1.065188104	0	1.108691703	4.151684553	1.49352322	1.083035136	0	0.773559769	0	0.870844067	0.630184814	0.333744318	0.942686749	1.769078877	0	1.566984732	2.112295686	2.011996991	1.919538372
"P27348;E9PG15"	"P27348;E9PG15"	"8;5"	"6;4"	"6;4"	14-3-3 protein theta	YWHAQ	0	0	6.087341719	6.451108042	0	0	0	0	0.799603484	1.559561908	0	0.514808304	0.908798854	0	1.898167229	1.845902851	0	0	0	0	0	1.347764499	2.227621314	2.400384148	0.753002898	0	6.226518937	8.317694539	1.471521994	2.483795891	1.429646076	1.668033942	6.873805568	7.550755537	0	0	0.759231368	0	0	1.7873123	0	0	0	4.146299185	2.299198771	2.474217788	0	0.74643247	4.096828221	2.053148682	1.30770611	1.889444146	2.454497946	1.128820612
"Q99536;K7ERT7;K7ENX2;K7EM19;Q99536-2;Q99536-3;K7ER81;K7ESA3"	"Q99536;K7ERT7;K7ENX2;K7EM19;Q99536-2;Q99536-3"	"4;2;2;2;2;2;1;1"	"4;2;2;2;2;2;1;1"	"4;2;2;2;2;2;1;1"	Synaptic vesicle membrane protein VAT-1 homolog	VAT1	0.709266194	0.354979693	2.080689006	2.147016544	0	0	0	0	0.526366545	0	0	0	0	0.437171501	0.668478278	1.16986334	0	0	0	0.541488832	0.810353986	0.925012201	1.34580858	1.552643932	0	0.319199436	0.975162086	1.258594803	0	0	1.167362267	1.107998565	1.563178305	1.097948262	0	0.490959112	0	0	0	0.9874536	0	0	0	0	0.782200472	0.947439666	0.395070298	0.526668276	0	0	0.734083131	0.811341689	1.06395592	1.264459485
"O75936;E9PKC9"	O75936	"6;1"	"6;1"	"6;1"	Gamma-butyrobetaine dioxygenase	BBOX1	1.373264661	2.177324469	2.999353412	2.203373355	0	0	0	0	0	2.234596602	0	0	0	0	2.216532373	3.111502847	2.059376332	0	0	0	0	0	3.282226525	3.46426481	0.990181481	2.45702321	0.790256585	1.030448992	0.662241988	0.749620951	1.445891052	1.614278955	0.941900755	0.931988001	0	0.964850269	0.146046743	0	2.5998538	2.154814171	0	0	0	0	0	0	0	0	0.918252277	0.368721425	0.60116242	0.527667079	0	0.929795773
"Q8N3J6-4;Q8N3J6-5;Q8N3J6-2;Q8N3J6;Q8N3J6-3"	"Q8N3J6-4;Q8N3J6-5;Q8N3J6-2;Q8N3J6;Q8N3J6-3"	"4;4;4;4;4"	"4;4;4;4;4"	"4;4;4;4;4"	Cell adhesion molecule 2	CADM2	0	0	0	0	0	0	1.501103519	1.450353697	0.758713449	1.097295211	0.915970442	1.846572881	0.880753251	0	0	0	0	0.354334057	3.1286057	2.516882164	2.54159009	2.812992112	1.319788488	1.151484091	1.567003718	2.389003074	0.938400641	1.116751756	0	0	0	0.642857555	0	1.066941728	0.94903291	2.068288062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"J3KQ18;P30046;H7C342;B5MC82;P30046-2;A6NHG4"	"J3KQ18;P30046;H7C342"	"3;3;2;1;1;1"	"3;3;2;1;1;1"	"3;3;2;1;1;1"	D-dopachrome decarboxylase	DDT	0	0	3.008528004	3.060498406	0	0	1.769175013	0	0.642155724	0	0	0	1.298752976	1.406199818	5.482087198	5.322725925	0	0	2.314907116	1.769960474	3.343926052	2.871641516	2.130796974	2.376705392	0	1.328199664	2.222730689	0	0	0	1.923306513	2.231355909	2.217799294	2.456120875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.843482139	2.250386072
"A0A286YF22;O43175;A0A2C9F2M7;A0A286YFA2;A0A286YER3;A0A286YFC8;A0A286YFB2;A0A286YFM8;A0A286YFL2;A0A286YFF3;A0A286YF34;A0A286YFK5"	"A0A286YF22;O43175;A0A2C9F2M7;A0A286YFA2"	"6;6;5;4;2;2;2;2;2;1;1;1"	"6;6;5;4;2;2;2;2;2;1;1;1"	"6;6;5;4;2;2;2;2;2;1;1;1"	D-3-phosphoglycerate dehydrogenase	PHGDH	0.811464874	0.747136268	3.295184286	3.163738583	0	0	0	0	0.173454027	0	0	0	0	0.257204005	0.289943951	0.293812732	0	0.225065621	0.325640599	0.261080869	0.455168009	0.354670065	0.901227062	0.820904754	0.248081538	0.19666014	1.382380451	2.154184771	0	0	1.313134091	1.056026901	1.651411286	2.085947733	0	0.187169782	0	0	2.755697054	0.765380585	0	0	0.805678793	1.091504214	0.944607526	1.389396088	0.344429578	0.250258738	1.27863535	0.549327315	0.645167918	0.865219392	0.689194066	0.577301917
"A0A0U1RQF0;P49327"	"A0A0U1RQF0;P49327"	"12;12"	"12;12"	"12;12"	"Fatty acid synthase;[Acyl-carrier-protein] S-acetyltransferase;[Acyl-carrier-protein] S-malonyltransferase;3-oxoacyl-[acyl-carrier-protein] synthase;3-oxoacyl-[acyl-carrier-protein] reductase;3-hydroxyacyl-[acyl-carrier-protein] dehydratase;Enoyl-[acyl-carrier-protein] reductase;Oleoyl-[acyl-carrier-protein] hydrolase"	FASN	0.143997199	0.209530911	0.60891956	0.676361712	0	0	0	0.208641331	0.350323455	0.337157191	0	0	0	0	0.260789217	0	0	0.052848077	0	0.26458339	0.276056566	0.28390983	0.208467041	0.217875362	0	0	0.348455863	0.387669643	0.098868485	0.138445538	0.528494166	0.559164142	0.331364845	0.353496893	0.1842283	0.374903932	0	0.120699789	0.660971619	0.275590159	0	0	0.065979844	0.11222357	0.307879385	0.33337806	0.128309801	0.204544641	0.62409584	0.191412343	0.311715223	0.283108564	0.396338106	0.355369431
"P05141;Q9H0C2"	P05141	"7;2"	"7;2"	"4;0"	"ADP/ATP translocase 2;ADP/ATP translocase 2, N-terminally processed"	SLC25A5	0.810048053	1.112726909	7.970095144	6.602608276	0	0.28739068	0.735747695	0	0	0	0	0	0	0	1.184932359	0.452454165	0	0.524157416	1.404606759	0	0.540402916	0	1.066980994	0.646091772	1.157065468	0.645858662	3.522582197	2.249854161	1.898935316	0	0.867828667	0.67935635	3.55281987	2.592662147	0	0	0.579923486	0	4.042744605	1.579957596	0	0	0	0	1.166591334	1.570994934	0	0	6.998410421	1.484980413	2.634664815	3.480762205	5.284360762	4.379988498
"P19801-2;P19801;C9J2J4"	"P19801-2;P19801"	"8;8;2"	"8;8;2"	"8;8;2"	Amiloride-sensitive amine oxidase [copper-containing]	AOC1	0	0	0	0	0	0	1.634666769	1.470330574	0.216698314	0.341818439	0	0.258746424	1.496598252	1.609488817	1.871439694	2.055561538	0	0	0.52921316	0.4526125	2.892899865	3.604337167	1.081018548	0.766675142	1.037713418	0.35199275	0	0.104569682	0	0	0.996846742	1.247431279	0.12094124	0.135132608	0.224900386	0.312777586	0	0	0.880223417	0.313771955	0	0	0	0	0.307602015	0.601980713	0.252661451	0.235686385	0	0.206794186	0	0	0.44622703	0
"J3KRG2;Q96QA5"	"J3KRG2;Q96QA5"	"5;5"	"5;5"	"5;5"	Gasdermin-A	GSDMA	0.875227086	1.331766758	1.968452623	2.229453969	0	0	0	0	1.192841976	1.821544213	0	0	0.983726784	0.975770398	0.871989518	0	0	0	0	0	2.219005652	2.579581723	2.393811688	1.78033942	0	0.889733806	2.235148367	1.837130032	5.599657976	5.738240208	1.10504945	0.829361392	2.605835173	2.692268669	0	0	2.286097513	7.391114596	5.219128709	0	0	0	0.544814609	0	0.584321442	0	0	1.454669661	0	0	5.311227645	4.359262648	0.763946217	0.232425684
"P31431-2;P31431"	"P31431-2;P31431"	"2;2"	"2;2"	"2;2"	Syndecan-4	SDC4	0	0	3.132979218	2.737483866	0	1.485579959	4.899311286	7.11159563	2.327760432	0	0	0	4.295850931	3.691929461	0	0	0	3.866555335	7.393734028	5.753966167	8.151055836	9.142449242	4.851988632	5.706709425	7.565153012	0	1.970325587	4.062827595	0	0	6.37096048	6.469923039	3.164583942	3.518488398	0	3.616197646	0	0	0	0	6.610419443	5.407293322	0	0	0	0	0	0	0	0	0	0	0	0
CON__O43790	CON__O43790	23	22	0		CON__O43790	0.296624511	0.86942166	0	0.156903358	0.131996806	0	0	0	124.9852226	117.6612697	0	1.22083704	0	0	4.695665653	6.455358023	0	0	0	0	0.303387814	0.620032628	1.394179386	0.350379794	0.698077211	1.006329826	0.317423115	1.267108961	1.879432697	1.933891706	0	0	0.54207152	0.384263157	0	0	0.111477865	0.567512725	1.571486595	0.495018876	0.208954632	0	25.16593804	43.13861519	0	0.447024958	0	0	3.962912422	0.832902322	0.271909518	0.926559082	0.773737809	0.625191683
CON__Q7Z794	CON__Q7Z794	11	6	1		CON__Q7Z794	0	0.420425216	0	0	0	0	0.703106394	0.652251914	1.150885714	0	0.299676423	0.246113027	0.483200615	0.536616571	0	0.371827946	0	0	0.774176524	0.965942717	1.570040008	1.719017625	0	0	0.775766675	0.472978867	0	0	4.824797681	3.393566975	0.498257887	0.745963806	0.73690564	0.402931641	0.874085542	1.353720364	1.544700908	5.865278673	0	0	0.484623574	0	0.561105687	0	0	0	0.702967802	0.493049686	1.524214005	0.512306549	1.816107881	1.947321051	0.480271142	0
P52907	P52907	4	4	4	F-actin-capping protein subunit alpha-1	CAPZA1	0	0.466214139	4.779196936	4.655503883	0.342028475	0.647751413	0	0	0	0	0	0	0.244753845	0.305935681	0	0.866535509	0.590083596	0	0	0.487062368	0.713721166	0.362758029	1.249646565	0.894608566	0	0	2.532159344	2.677213038	0	0.431057852	0.605961931	0.86950446	1.806445662	2.533411255	0.284116311	0	0	0	1.728134124	0	0	0	0	1.497103149	1.49291493	0.79660849	0.576884387	1.330336738	4.65293566	1.098343102	1.029869587	1.010383735	3.180115362	2.292600066
"P61586;A0A7I2YQV1;A0A7I2V3G1;C9JNR4;C9JX21;A0A7I2V5E6;C9JRM1;P62745"	"P61586;A0A7I2YQV1;A0A7I2V3G1;C9JNR4;C9JX21"	"7;5;5;5;5;3;3;2"	"2;2;1;1;1;1;1;0"	"2;2;1;1;1;1;1;0"	Transforming protein RhoA	RHOA	3.250904946	5.307493218	10.66264639	10.89283581	0	0	1.975021855	2.066218837	2.663633426	0	0	0	0	3.057842737	3.06979209	0	0	0	5.551552548	2.738009587	0	0	2.411860217	2.485459593	4.371298873	2.943866087	8.153747862	9.802309128	0	0	3.819802377	4.294573403	8.596433557	8.151286112	0	3.557619743	0	2.709056261	19.30468186	8.181717255	0	0	0	5.841998154	4.385012998	6.186208457	0	4.897962041	0	2.628154198	2.061558904	0	5.954065534	5.591828046
Q9UGN4	Q9UGN4	2	2	2	CMRF35-like molecule 8	CD300A	0	9.420019626	0	0	0	0	10.6255746	10.67692521	5.48396599	5.764828935	3.007141068	0	7.992245363	8.487218892	11.43318077	10.97656701	0	0	9.739000333	7.57996757	9.338156559	9.808575227	8.615368895	10.52496935	14.69232679	8.893186376	13.54411848	15.61941364	2.207240092	2.443067006	8.709826682	8.393059034	12.90595911	14.32672033	6.878916302	12.21374579	0	0	0	0	14.50176487	15.62591067	0	0	0	0	0	0	0	3.447895352	0	0	0	0
"A0A2R8YDF1;P17213;H0Y738;A0A0D9SFX6"	"A0A2R8YDF1;P17213;H0Y738"	"9;9;6;2"	"9;9;6;2"	"9;9;6;2"	Bactericidal permeability-increasing protein	BPI	0	0	17.25162923	16.42722399	0	0	0	0	0.795960136	0	0.700836067	1.129965843	3.642727425	3.295684671	0.766752359	0.807949268	0.93351932	0	2.692852382	1.878904971	3.032439153	3.154599896	1.240218967	0	2.383611592	1.512154178	3.564677018	4.418430362	0.973939748	0.635836407	0.893634111	0.906676622	3.465080141	3.974228801	1.947651134	0.47947625	0	0	0.793277123	0.615230539	0	0	0	0.442723628	1.108835767	1.077364747	1.321712535	2.250779346	3.943142608	0.683388258	0.5457595	0.485575247	1.378865536	1.177311657
"Q9UN70;Q9UN70-2;A0A087X1P2"	"Q9UN70;Q9UN70-2;A0A087X1P2"	"7;7;6"	"7;7;6"	"7;7;6"	Protocadherin gamma-C3	PCDHGC3	0.578766105	0.696324881	0	0	0	0	1.039719204	0.902321398	1.130864534	1.739702561	0.791880535	0.881694414	0	0	0.217099498	0.328062578	0	0	0.761695222	0.466908222	1.197048952	1.408708477	0.575914952	0.681921199	1.495688192	1.035407011	0.436100884	0.977170191	0	0	0.428976014	0.588501739	0.923138647	0.798374688	1.331657389	1.86733067	0.180092191	0.703703017	4.826262969	3.057137461	1.349587669	1.219419595	0	0	1.644095123	2.40041684	0.529533505	0.981635404	2.792180984	1.067781905	0.637568552	0.523898062	0.317400787	0.296247199
